Variables,Overall
Tree.cover,54.105821610544304
Silt_30,61.60001859182809
CNA_Rad_5_8,60.64030831840318
elevation,100
CNA_PAS,81.615405242918
Sand_30,65.71043281625512
BD_30,49.66048644892149
Ruggedness,38.65778744937746
drought_factor,62.82777648336643
TWI,0
SOC_30,47.87226795942506
PFI,85.83972782551207
slope,15.902556173498755
WS,30.087418513682252
energy_release_component,95.91063331381986
NV,58.391126244769694
DEC,51.47351245381165
Clay_30,49.765550719443155
CNA_AHM,73.43626141136502
BS,23.01927326614534
